,Away,Away_PTS,Home,Home_PTS,Margin,Away_SRS,Home_SRS
173,Memphis Grizzlies,114,Indiana Pacers,126,-12,-1.05,1.61
174,Minnesota Timberwolves,125,Atlanta Hawks,113,12,-3.78,-7.57
175,Sacramento Kings,102,Boston Celtics,103,-1,-1.44,5.69
176,Charlotte Hornets,100,Miami Heat,117,-17,-6.88,2.58
177,Philadelphia 76ers,96,Toronto Raptors,101,-5,2.22,5.88
178,Portland Trail Blazers,117,Chicago Bulls,94,23,-1.11,-3.81
179,Utah Jazz,118,Milwaukee Bucks,122,-4,3.2,10.44
180,Los Angeles Lakers,114,San Antonio Spurs,104,10,7.75,-1.19
181,Oklahoma City Thunder,100,Golden State Warriors,97,3,2.79,-7.92
182,Los Angeles Clippers,114,Dallas Mavericks,99,15,6.74,5.84
183,Washington Wizards,104,Denver Nuggets,117,-13,-4.86,3.02
184,Brooklyn Nets,110,Boston Celtics,121,-11,-1.18,5.69
185,Detroit Pistons,101,Charlotte Hornets,102,-1,-4.22,-6.88
186,Orlando Magic,116,Cleveland Cavaliers,104,12,-0.85,-7.57
187,Utah Jazz,102,Indiana Pacers,121,-19,3.2,1.61
188,Sacramento Kings,91,Philadelphia 76ers,97,-6,-1.44,2.22
189,New York Knicks,98,Toronto Raptors,126,-28,-6.55,5.88
190,Miami Heat,108,Houston Rockets,117,-9,2.58,3.78
191,Los Angeles Clippers,121,Memphis Grizzlies,119,2,6.74,-1.05
192,Atlanta Hawks,102,Milwaukee Bucks,111,-9,-7.57,10.44
193,Minnesota Timberwolves,113,San Antonio Spurs,101,12,-3.78,-1.19
194,Washington Wizards,140,Phoenix Suns,132,8,-4.86,-1.04
195,Los Angeles Lakers,114,New Orleans Pelicans,110,4,7.75,0.3
196,Oklahoma City Thunder,119,Portland Trail Blazers,136,-17,2.79,-1.11
197,Chicago Bulls,90,Golden State Warriors,104,-14,-3.81,-7.92
198,Boston Celtics,107,Brooklyn Nets,112,-5,5.69,-1.18
199,Charlotte Hornets,110,Detroit Pistons,107,3,-6.88,-4.22
200,Toronto Raptors,90,Orlando Magic,83,7,5.88,-0.85
201,Milwaukee Bucks,119,Cleveland Cavaliers,110,9,10.44,-7.57
202,Philadelphia 76ers,101,New York Knicks,95,6,2.22,-6.55
203,Atlanta Hawks,104,Indiana Pacers,105,-1,-7.57,1.61
204,Utah Jazz,103,Memphis Grizzlies,94,9,3.2,-1.05
205,Golden State Warriors,105,Miami Heat,122,-17,-7.92,2.58
206,New Orleans Pelicans,104,Oklahoma City Thunder,109,-5,0.3,2.79
207,Los Angeles Clippers,97,San Antonio Spurs,107,-10,6.74,-1.19
208,Dallas Mavericks,120,Phoenix Suns,113,7,5.84,-1.04
209,Chicago Bulls,103,Portland Trail Blazers,107,-4,-3.81,-1.11
210,Washington Wizards,103,Los Angeles Lakers,125,-22,-4.86,7.75
211,Denver Nuggets,97,Sacramento Kings,100,-3,3.02,-1.44
212,Indiana Pacers,116,Philadelphia 76ers,119,-3,1.61,2.22
213,Atlanta Hawks,111,Houston Rockets,158,-47,-7.57,3.78
214,Charlotte Hornets,96,Milwaukee Bucks,137,-41,-6.88,10.44
0,Miami Heat,109,Brooklyn Nets,106,3,2.58,-1.18
1,Memphis Grizzlies,115,Minnesota Timberwolves,107,8,-1.05,-3.78
2,Boston Celtics,113,New York Knicks,104,9,5.69,-6.55
3,Dallas Mavericks,114,Los Angeles Lakers,100,14,5.84,7.75
4,San Antonio Spurs,98,Detroit Pistons,132,-34,-1.19,-4.22
5,Oklahoma City Thunder,107,New Orleans Pelicans,104,3,2.79,0.3
6,Golden State Warriors,96,Orlando Magic,100,-4,-7.92,-0.85
7,Utah Jazz,110,Toronto Raptors,130,-20,3.2,5.88
8,Washington Wizards,125,Los Angeles Clippers,150,-25,-4.86,6.74
9,Phoenix Suns,109,Charlotte Hornets,104,5,-1.04,-6.88
10,Utah Jazz,94,Philadelphia 76ers,103,-9,3.2,2.22
11,Golden State Warriors,79,Atlanta Hawks,104,-25,-7.92,-7.57
12,Indiana Pacers,117,Memphis Grizzlies,104,13,1.61,-1.05
13,New York Knicks,88,Milwaukee Bucks,132,-44,-6.55,10.44
14,Chicago Bulls,113,Sacramento Kings,106,7,-3.81,-1.44
15,Detroit Pistons,127,Cleveland Cavaliers,94,33,-4.22,-7.57
16,Orlando Magic,127,Washington Wizards,120,7,-0.85,-4.86
17,Dallas Mavericks,118,New Orleans Pelicans,97,21,5.84,0.3
18,Miami Heat,121,Toronto Raptors,110,11,2.58,5.88
19,Houston Rockets,133,San Antonio Spurs,135,-2,3.78,-1.19
20,Los Angeles Lakers,105,Denver Nuggets,96,9,7.75,3.02
21,Portland Trail Blazers,97,Los Angeles Clippers,117,-20,-1.11,6.74
22,Golden State Warriors,91,Charlotte Hornets,106,-15,-7.92,-6.88
23,Milwaukee Bucks,127,Detroit Pistons,103,24,10.44,-4.22
24,Phoenix Suns,114,Orlando Magic,128,-14,-1.04,-0.85
25,Brooklyn Nets,130,Atlanta Hawks,118,12,-1.18,-7.57
26,Miami Heat,93,Boston Celtics,112,-19,2.58,5.69
27,Memphis Grizzlies,99,Chicago Bulls,106,-7,-1.05,-3.81
28,Indiana Pacers,107,Oklahoma City Thunder,100,7,1.61,2.79
29,Minnesota Timberwolves,114,Dallas Mavericks,121,-7,-3.78,5.84
30,Los Angeles Lakers,121,Utah Jazz,96,25,7.75,3.2
31,Sacramento Kings,116,Portland Trail Blazers,127,-11,-1.44,-1.11
32,Philadelphia 76ers,113,Washington Wizards,119,-6,2.22,-4.86
33,Denver Nuggets,129,New York Knicks,92,37,3.02,-6.55
34,Houston Rockets,119,Toronto Raptors,109,10,3.78,5.88
35,Phoenix Suns,139,New Orleans Pelicans,132,7,-1.04,0.3
36,Brooklyn Nets,111,Charlotte Hornets,104,7,-1.18,-6.88
37,Orlando Magic,93,Cleveland Cavaliers,87,6,-0.85,-7.57
38,Indiana Pacers,101,Detroit Pistons,108,-7,1.61,-4.22
39,Denver Nuggets,95,Boston Celtics,108,-13,3.02,5.69
40,Golden State Warriors,100,Chicago Bulls,98,2,-7.92,-3.81
41,Washington Wizards,103,Miami Heat,112,-9,-4.86,2.58
42,Minnesota Timberwolves,127,Oklahoma City Thunder,139,-12,-3.78,2.79
43,Los Angeles Clippers,91,Milwaukee Bucks,119,-28,6.74,10.44
44,Sacramento Kings,104,San Antonio Spurs,105,-1,-1.44,-1.19
45,Los Angeles Lakers,136,Portland Trail Blazers,113,23,7.75,-1.11
46,New Orleans Pelicans,84,Dallas Mavericks,130,-46,0.3,5.84
47,Indiana Pacers,104,New York Knicks,103,1,1.61,-6.55
48,Cleveland Cavaliers,94,Philadelphia 76ers,141,-47,-7.57,2.22
49,Phoenix Suns,109,Houston Rockets,115,-6,-1.04,3.78
50,Memphis Grizzlies,112,Utah Jazz,126,-14,-1.05,3.2
51,Denver Nuggets,102,Brooklyn Nets,105,-3,3.02,-1.18
52,Atlanta Hawks,122,Charlotte Hornets,107,15,-7.57,-6.88
53,Chicago Bulls,105,Miami Heat,110,-5,-3.81,2.58
54,Toronto Raptors,104,Philadelphia 76ers,110,-6,5.88,2.22
55,Los Angeles Clippers,135,Washington Wizards,119,16,6.74,-4.86
56,Sacramento Kings,110,Dallas Mavericks,106,4,-1.44,5.84
