,Away,Away_PTS,Home,Home_PTS,Margin,Away_SRS,Home_SRS
27,San Antonio Spurs,102,Los Angeles Lakers,129,-27,-1.19,7.75
28,Phoenix Suns,108,Detroit Pistons,116,-8,-1.04,-4.22
29,Orlando Magic,100,Boston Celtics,116,-16,-0.85,5.69
30,Golden State Warriors,88,Brooklyn Nets,129,-41,-7.92,-1.18
31,Indiana Pacers,118,Toronto Raptors,119,-1,1.61,5.88
32,Atlanta Hawks,127,Minnesota Timberwolves,120,7,-7.57,-3.78
33,Cleveland Cavaliers,103,Oklahoma City Thunder,109,-6,-7.57,2.79
34,Memphis Grizzlies,121,Dallas Mavericks,107,14,-1.05,5.84
35,Denver Nuggets,98,Utah Jazz,95,3,3.02,3.2
36,Miami Heat,111,Los Angeles Clippers,128,-17,2.58,6.74
37,Orlando Magic,103,New York Knicks,105,-2,-0.85,-6.55
38,New Orleans Pelicans,125,Chicago Bulls,119,6,0.3,-3.81
39,Philadelphia 76ers,101,Milwaukee Bucks,112,-11,2.22,10.44
40,San Antonio Spurs,117,Portland Trail Blazers,125,-8,-1.19,-1.11
41,Houston Rockets,121,Los Angeles Lakers,111,10,3.78,7.75
42,Memphis Grizzlies,107,Philadelphia 76ers,119,-12,-1.05,2.22
43,Dallas Mavericks,118,Washington Wizards,119,-1,5.84,-4.86
44,Atlanta Hawks,107,Boston Celtics,112,-5,-7.57,5.69
45,Toronto Raptors,115,Indiana Pacers,106,9,5.88,1.61
46,Detroit Pistons,101,Oklahoma City Thunder,108,-7,-4.22,2.79
47,Houston Rockets,91,Phoenix Suns,127,-36,3.78,-1.04
48,Miami Heat,97,Sacramento Kings,105,-8,2.58,-1.44
49,Portland Trail Blazers,114,Utah Jazz,117,-3,-1.11,3.2
50,Milwaukee Bucks,111,Orlando Magic,95,16,10.44,-0.85
51,Dallas Mavericks,116,Charlotte Hornets,100,16,5.84,-6.88
52,New York Knicks,95,Detroit Pistons,92,3,-6.55,-4.22
53,New Orleans Pelicans,124,Indiana Pacers,117,7,0.3,1.61
54,Brooklyn Nets,118,Toronto Raptors,119,-1,-1.18,5.88
55,Los Angeles Clippers,115,Minnesota Timberwolves,142,-27,6.74,-3.78
56,Los Angeles Lakers,125,Golden State Warriors,120,5,7.75,-7.92
57,Denver Nuggets,117,Phoenix Suns,108,9,3.02,-1.04
58,San Antonio Spurs,102,Sacramento Kings,122,-20,-1.19,-1.44
59,Boston Celtics,112,Oklahoma City Thunder,111,1,5.69,2.79
60,New York Knicks,135,Atlanta Hawks,140,-5,-6.55,-7.57
61,Chicago Bulls,111,Philadelphia 76ers,118,-7,-3.81,2.22
62,Memphis Grizzlies,106,Washington Wizards,99,7,-1.05,-4.86
63,Utah Jazz,114,Houston Rockets,113,1,3.2,3.78
64,Los Angeles Clippers,133,Cleveland Cavaliers,92,41,6.74,-7.57
65,Miami Heat,109,Portland Trail Blazers,115,-6,2.58,-1.11
66,Charlotte Hornets,87,Detroit Pistons,76,11,-6.88,-4.22
67,Brooklyn Nets,106,Indiana Pacers,105,1,-1.18,1.61
68,Atlanta Hawks,126,Orlando Magic,135,-9,-7.57,-0.85
69,Minnesota Timberwolves,126,Toronto Raptors,137,-11,-3.78,5.88
70,Sacramento Kings,111,Milwaukee Bucks,123,-12,-1.44,10.44
71,Utah Jazz,123,Dallas Mavericks,119,4,3.2,5.84
72,San Antonio Spurs,120,Denver Nuggets,127,-7,-1.19,3.02
73,Miami Heat,113,Golden State Warriors,101,12,2.58,-7.92
74,Phoenix Suns,100,Los Angeles Lakers,125,-25,-1.04,7.75
75,Los Angeles Clippers,103,Philadelphia 76ers,110,-7,6.74,2.22
76,Chicago Bulls,114,Washington Wizards,126,-12,-3.81,-4.86
77,Portland Trail Blazers,117,New Orleans Pelicans,138,-21,-1.11,0.3
78,San Antonio Spurs,114,Oklahoma City Thunder,106,8,-1.19,2.79
79,Boston Celtics,105,Houston Rockets,116,-11,5.69,3.78
80,Atlanta Hawks,105,Cleveland Cavaliers,127,-22,-7.57,-7.57
81,Detroit Pistons,112,Orlando Magic,116,-4,-4.22,-0.85
82,Toronto Raptors,91,Brooklyn Nets,101,-10,5.88,-1.18
83,Milwaukee Bucks,111,Indiana Pacers,118,-7,10.44,1.61
84,Washington Wizards,114,New York Knicks,96,18,-4.86,-6.55
85,Portland Trail Blazers,104,Memphis Grizzlies,111,-7,-1.11,-1.05
86,Charlotte Hornets,115,Minnesota Timberwolves,108,7,-6.88,-3.78
87,Sacramento Kings,111,Dallas Mavericks,130,-19,-1.44,5.84
88,Golden State Warriors,106,Phoenix Suns,112,-6,-7.92,-1.04
89,Miami Heat,101,Utah Jazz,116,-15,2.58,3.2
90,Los Angeles Lakers,120,Denver Nuggets,116,4,7.75,3.02
91,Los Angeles Clippers,133,Boston Celtics,141,-8,6.74,5.69
92,Oklahoma City Thunder,123,New Orleans Pelicans,118,5,2.79,0.3
93,Milwaukee Bucks,126,Detroit Pistons,106,20,10.44,-4.22
94,Miami Heat,124,Atlanta Hawks,129,-5,2.58,-7.57
95,Charlotte Hornets,103,Chicago Bulls,93,10,-6.88,-3.81
96,Brooklyn Nets,104,Philadelphia 76ers,112,-8,-1.18,2.22
97,Memphis Grizzlies,125,Sacramento Kings,129,-4,-1.05,-1.44
98,Houston Rockets,135,Golden State Warriors,105,30,3.78,-7.92
99,Dallas Mavericks,122,Orlando Magic,106,16,5.84,-0.85
100,Cleveland Cavaliers,113,Washington Wizards,108,5,-7.57,-4.86
101,Indiana Pacers,106,New York Knicks,98,8,1.61,-6.55
102,Phoenix Suns,101,Toronto Raptors,118,-17,-1.04,5.88
103,Boston Celtics,127,Minnesota Timberwolves,117,10,5.69,-3.78
104,Denver Nuggets,101,Oklahoma City Thunder,113,-12,3.02,2.79
105,San Antonio Spurs,113,Utah Jazz,104,9,-1.19,3.2
106,Memphis Grizzlies,105,Los Angeles Lakers,117,-12,-1.05,7.75
107,New Orleans Pelicans,128,Portland Trail Blazers,115,13,0.3,-1.11
108,Sacramento Kings,112,Los Angeles Clippers,103,9,-1.44,6.74
109,Brooklyn Nets,115,Charlotte Hornets,86,29,-1.18,-6.88
110,Dallas Mavericks,107,Atlanta Hawks,111,-4,5.84,-7.57
111,Phoenix Suns,112,Chicago Bulls,104,8,-1.04,-3.81
112,Cleveland Cavaliers,105,Miami Heat,124,-19,-7.57,2.58
113,Philadelphia 76ers,98,Milwaukee Bucks,119,-21,2.22,10.44
114,Houston Rockets,120,Utah Jazz,110,10,3.78,3.2
115,Boston Celtics,112,Los Angeles Lakers,114,-2,5.69,7.75
116,Minnesota Timberwolves,116,Denver Nuggets,128,-12,-3.78,3.02
117,Indiana Pacers,81,Toronto Raptors,127,-46,1.61,5.88
118,Washington Wizards,117,Chicago Bulls,126,-9,-4.86,-3.81
119,San Antonio Spurs,103,Oklahoma City Thunder,131,-28,-1.19,2.79
120,New Orleans Pelicans,115,Golden State Warriors,101,14,0.3,-7.92
121,Detroit Pistons,104,Portland Trail Blazers,107,-3,-4.22,-1.11
122,Miami Heat,119,Cleveland Cavaliers,125,-6,2.58,-7.57
123,Atlanta Hawks,112,Philadelphia 76ers,129,-17,-7.57,2.22
124,Milwaukee Bucks,137,Washington Wizards,134,3,10.44,-4.86
125,Orlando Magic,115,Brooklyn Nets,113,2,-0.85,-1.18
126,New York Knicks,112,Houston Rockets,123,-11,-6.55,3.78
127,Minnesota Timberwolves,123,Dallas Mavericks,139,-16,-3.78,5.84
128,Phoenix Suns,131,Utah Jazz,111,20,-1.04,3.2
129,Memphis Grizzlies,97,Los Angeles Clippers,124,-27,-1.05,6.74
130,Charlotte Hornets,80,Indiana Pacers,119,-39,-6.88,1.61
131,Milwaukee Bucks,108,Toronto Raptors,97,11,10.44,5.88
132,Oklahoma City Thunder,124,Chicago Bulls,122,2,2.79,-3.81
133,Detroit Pistons,98,Denver Nuggets,115,-17,-4.22,3.02
134,New Orleans Pelicans,109,Los Angeles Lakers,118,-9,0.3,7.75
135,Boston Celtics,118,Portland Trail Blazers,106,12,5.69,-1.11
136,Sacramento Kings,112,Golden State Warriors,94,18,-1.44,-7.92
137,New York Knicks,101,Charlotte Hornets,107,-6,-6.55,-6.88
138,Philadelphia 76ers,94,Cleveland Cavaliers,108,-14,2.22,-7.57
139,Brooklyn Nets,106,Washington Wizards,110,-4,-1.18,-4.86
140,Orlando Magic,130,Atlanta Hawks,120,10,-0.85,-7.57
141,Minnesota Timberwolves,129,Miami Heat,126,3,-3.78,2.58
142,Memphis Grizzlies,112,Houston Rockets,140,-28,-1.05,3.78
143,Dallas Mavericks,109,San Antonio Spurs,103,6,5.84,-1.19
144,Los Angeles Clippers,102,Phoenix Suns,92,10,6.74,-1.04
145,Boston Celtics,114,Utah Jazz,103,11,5.69,3.2
146,New York Knicks,106,Philadelphia 76ers,115,-9,-6.55,2.22
147,Portland Trail Blazers,100,Indiana Pacers,106,-6,-1.11,1.61
148,Sacramento Kings,108,Oklahoma City Thunder,112,-4,-1.44,2.79
149,Los Angeles Lakers,116,Golden State Warriors,86,30,7.75,-7.92
150,Minnesota Timberwolves,125,Orlando Magic,136,-11,-3.78,-0.85
151,Brooklyn Nets,118,Atlanta Hawks,141,-23,-1.18,-7.57
152,Charlotte Hornets,99,Toronto Raptors,96,3,-6.88,5.88
153,Sacramento Kings,104,Memphis Grizzlies,101,3,-1.44,-1.05
154,Dallas Mavericks,118,Miami Heat,126,-8,5.84,2.58
155,Oklahoma City Thunder,86,Milwaukee Bucks,133,-47,2.79,10.44
156,Cleveland Cavaliers,104,New Orleans Pelicans,116,-12,-7.57,0.3
157,Detroit Pistons,113,Phoenix Suns,111,2,-4.22,-1.04
158,Washington Wizards,119,Utah Jazz,129,-10,-4.86,3.2
159,Denver Nuggets,103,Los Angeles Clippers,132,-29,3.02,6.74
160,Chicago Bulls,115,New York Knicks,125,-10,-3.81,-6.55
161,Portland Trail Blazers,117,Atlanta Hawks,129,-12,-1.11,-7.57
162,Brooklyn Nets,113,Miami Heat,116,-3,-1.18,2.58
163,Indiana Pacers,113,Cleveland Cavaliers,104,9,1.61,-7.57
164,Los Angeles Lakers,88,Memphis Grizzlies,105,-17,7.75,-1.05
165,Houston Rockets,111,Boston Celtics,110,1,3.78,5.69
166,Orlando Magic,113,San Antonio Spurs,114,-1,-0.85,-1.19
167,Golden State Warriors,115,Phoenix Suns,99,16,-7.92,-1.04
0,Milwaukee Bucks,93,Charlotte Hornets,85,8,10.44,-6.88
1,Philadelphia 76ers,130,Los Angeles Clippers,136,-6,2.22,6.74
2,Dallas Mavericks,111,Minnesota Timberwolves,91,20,5.84,-3.78
3,Toronto Raptors,118,Denver Nuggets,133,-15,5.88,3.02
4,Detroit Pistons,100,Sacramento Kings,106,-6,-4.22,-1.44
5,Los Angeles Lakers,122,New Orleans Pelicans,114,8,7.75,0.3
6,Washington Wizards,124,Golden State Warriors,110,14,-4.86,-7.92
7,Utah Jazz,126,Cleveland Cavaliers,113,13,3.2,-7.57
8,Houston Rockets,123,New York Knicks,125,-2,3.78,-6.55
9,Portland Trail Blazers,130,Orlando Magic,107,23,-1.11,-0.85
10,Memphis Grizzlies,127,Atlanta Hawks,88,39,-1.05,-7.57
11,Milwaukee Bucks,89,Miami Heat,105,-16,10.44,2.58
12,Dallas Mavericks,107,Chicago Bulls,109,-2,5.84,-3.81
13,Indiana Pacers,116,San Antonio Spurs,111,5,1.61,-1.19
14,San Antonio Spurs,104,Charlotte Hornets,103,1,-1.19,-6.88
15,Brooklyn Nets,129,Boston Celtics,120,9,-1.18,5.69
16,Minnesota Timberwolves,139,New Orleans Pelicans,134,5,-3.78,0.3
17,Los Angeles Clippers,109,Oklahoma City Thunder,94,15,6.74,2.79
18,Golden State Warriors,116,Denver Nuggets,100,16,-7.92,3.02
19,Toronto Raptors,123,Phoenix Suns,114,9,5.88,-1.04
20,Philadelphia 76ers,107,Los Angeles Lakers,120,-13,2.22,7.75
21,Washington Wizards,126,Sacramento Kings,133,-7,-4.86,-1.44
22,Boston Celtics,112,Cleveland Cavaliers,106,6,5.69,-7.57
23,Oklahoma City Thunder,114,Detroit Pistons,107,7,2.79,-4.22
24,Indiana Pacers,100,Milwaukee Bucks,119,-19,1.61,10.44
25,Memphis Grizzlies,118,Brooklyn Nets,79,39,-1.05,-1.18
26,Utah Jazz,112,New York Knicks,104,8,3.2,-6.55
27,Orlando Magic,113,Miami Heat,116,-3,-0.85,2.58
28,Chicago Bulls,108,Minnesota Timberwolves,115,-7,-3.81,-3.78
29,New Orleans Pelicans,123,Dallas Mavericks,127,-4,0.3,5.84
30,Washington Wizards,104,Portland Trail Blazers,125,-21,-4.86,-1.11
31,Denver Nuggets,114,Charlotte Hornets,112,2,3.02,-6.88
32,Los Angeles Clippers,120,Houston Rockets,105,15,6.74,3.78
33,Philadelphia 76ers,125,Sacramento Kings,108,17,2.22,-1.44
34,Toronto Raptors,121,Golden State Warriors,113,8,5.88,-7.92
35,Atlanta Hawks,112,Washington Wizards,118,-6,-7.57,-4.86
36,San Antonio Spurs,120,Brooklyn Nets,139,-19,-1.19,-1.18
37,Oklahoma City Thunder,126,New York Knicks,103,23,2.79,-6.55
38,Indiana Pacers,108,Chicago Bulls,102,6,1.61,-3.81
39,Orlando Magic,132,Minnesota Timberwolves,118,14,-0.85,-3.78
40,Miami Heat,104,New Orleans Pelicans,110,-6,2.58,0.3
41,Utah Jazz,99,Boston Celtics,94,5,3.2,5.69
42,Memphis Grizzlies,96,Dallas Mavericks,121,-25,-1.05,5.84
43,Portland Trail Blazers,117,Phoenix Suns,127,-10,-1.11,-1.04
44,Milwaukee Bucks,103,Los Angeles Lakers,113,-10,10.44,7.75
45,Houston Rockets,99,Charlotte Hornets,108,-9,3.78,-6.88
46,Utah Jazz,111,Detroit Pistons,105,6,3.2,-4.22
47,Denver Nuggets,102,Cleveland Cavaliers,104,-2,3.02,-7.57
48,Atlanta Hawks,101,Memphis Grizzlies,118,-17,-7.57,-1.05
49,Philadelphia 76ers,114,Golden State Warriors,118,-4,2.22,-7.92
50,Sacramento Kings,123,Portland Trail Blazers,111,12,-1.44,-1.11
51,Chicago Bulls,107,Brooklyn Nets,110,-3,-3.81,-1.18
52,New Orleans Pelicans,120,Minnesota Timberwolves,107,13,0.3,-3.78
53,Los Angeles Lakers,112,Los Angeles Clippers,103,9,7.75,6.74
54,Oklahoma City Thunder,105,Boston Celtics,104,1,2.79,5.69
55,Milwaukee Bucks,131,Phoenix Suns,140,-9,10.44,-1.04
56,Miami Heat,100,Washington Wizards,89,11,2.58,-4.86
57,Indiana Pacers,112,Dallas Mavericks,109,3,1.61,5.84
58,Orlando Magic,126,Houston Rockets,106,20,-0.85,3.78
59,Detroit Pistons,84,New York Knicks,96,-12,-4.22,-6.55
60,San Antonio Spurs,129,Cleveland Cavaliers,132,-3,-1.19,-7.57
61,Toronto Raptors,118,Sacramento Kings,113,5,5.88,-1.44
62,Charlotte Hornets,138,Atlanta Hawks,143,-5,-6.88,-7.57
63,Milwaukee Bucks,95,Denver Nuggets,109,-14,10.44,3.02
64,Toronto Raptors,101,Utah Jazz,92,9,5.88,3.2
65,New York Knicks,115,Washington Wizards,122,-7,-6.55,-4.86
66,Boston Celtics,114,Indiana Pacers,111,3,5.69,1.61
67,Minnesota Timberwolves,111,Houston Rockets,117,-6,-3.78,3.78
68,Dallas Mavericks,109,San Antonio Spurs,119,-10,5.84,-1.19
69,Orlando Magic,120,Memphis Grizzlies,115,5,-0.85,-1.05
70,Cleveland Cavaliers,103,Chicago Bulls,108,-5,-7.57,-3.81
71,Phoenix Suns,105,Portland Trail Blazers,121,-16,-1.04,-1.11
72,Brooklyn Nets,104,Los Angeles Lakers,102,2,-1.18,7.75
73,Los Angeles Clippers,131,Golden State Warriors,107,24,6.74,-7.92
74,Detroit Pistons,106,Philadelphia 76ers,124,-18,-4.22,2.22
75,New York Knicks,136,Atlanta Hawks,131,5,-6.55,-7.57
76,Charlotte Hornets,109,Miami Heat,98,11,-6.88,2.58
77,Denver Nuggets,97,Dallas Mavericks,113,-16,3.02,5.84
